image,catalogNumber,cliffNumber,taxon,bone,age,relatedFossils,visibleMeasurements,currentLocation
"<img src=""http://www.carnegiequarry.com/images/DINO-4346-thumb.jpg"">",DINO 4346,Not yet available,"Sauropod, unidentified",Incomplete left femur ,Juvenile,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4347-thumb.jpg"">",DINO 4347,Not yet available,Diplodocus sp.,Incomplete left femur ,Juvenile,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4348-thumb.jpg"">",DINO 4348,Not yet available,Stegosaurus sp.,Dermal plate 13,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4349-thumb.jpg"">",DINO 4349,Not yet available,Camarasaurus sp.,Left coracoid,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4350-thumb.jpg"">",DINO 4350,Not yet available,Camarasaurus sp.,Left scapula prescapula only,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4351-thumb.jpg"">",DINO 4351,Not yet available,Diplodocus sp.,Left femur,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4354-thumb.jpg"">",DINO 4354,Not yet available,Stegosaurus sp.,Left scapula,Adult,Associated with DINO 4355,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4355-thumb.jpg"">",DINO 4355,Not yet available,Stegosaurus sp.,Left coracoid ,Adult,Associated with DINO 4354,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4356-thumb.jpg"">",DINO 4356,Not yet available,"Sauropod, unidentified",Right dorsal rib,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4357-thumb.jpg"">",DINO 4357,Not yet available,Stegosaurus sp.,Right scapula and coracoid,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4358-thumb.jpg"">",DINO 4358,Not yet available,Camarasaurus sp.,Right ischium ,Juvenile,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4359-thumb.jpg"">",DINO 4359,Not yet available,Diplodocus sp.,Dorsal vertebra 5 or 6,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4361-thumb.jpg"">",DINO 4361,CL-0735,Stegosaurus sp.,Third & fourth anterior caudal vertebra,Adult,None apparent,15 in x 8 in,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4361a-thumb.jpg"">",DINO 4361a,Not yet available,Stegosaurus sp.,Third and fourth anterior caudal vertebra,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4361b-thumb.jpg"">",DINO 4361b,Not yet available,Stegosaurus sp.,Third and fourth anterior caudal vertebra,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4374-thumb.jpg"">",DINO 4374,Not yet available,Apatosaurus sp.,Cervical vertebra 11,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4389-thumb.jpg"">",DINO 4389,Not yet available,Apatosaurus sp.,Right pubis ,Juvenile,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4446-thumb.jpg"">",DINO 4446,Not yet available,Camarasaurus sp.,Left dorsal rib missing ribhead,Adult,"Associated with DINO 4390 to 4445, 4447 to 4473, 4511 to 4514, 4520, 4826 to 4839",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4447-thumb.jpg"">",DINO 4447,Not yet available,Camarasaurus sp.,Left dorsal rib lacking distal portion ,Adult,"Associated with DINO 4390 to 4446, 4448 to 4473, 4511 to 4514, 4520, 4826 to 4839",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4448-thumb.jpg"">",DINO 4448,Not yet available,Camarasaurus sp.,Left dorsal rib 5 ,Adult,"Associated with DINO 4390 to 4447, 4449 to 4473, 4511 to 4514, 4520, 4826 to 4839",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4449-thumb.jpg"">",DINO 4449,Not yet available,Camarasaurus sp.,Left dorsal rib 7,Adult,"Associated with DINO 4390 to 4448, 4450 to 4473, 4511 to 4514, 4520, 4826 to 4839",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4451-thumb.jpg"">",DINO 4451,Not yet available,Camarasaurus sp.,Right dorsal rib,Adult,"Associated with DINO 4390 to 4450, 4452 to 4473, 4511 to 4514, 4520, 4826 to 4839",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4461-thumb.jpg"">",DINO 4461,Not yet available,Camarasaurus sp.,Scapula,Adult,"Associated with DINO 4390 to 4460, 4462 to 4473, 4511 to 4514, 4520, 4826 to 4839",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4475-thumb.jpg"">",DINO 4475,Not yet available,Apatosaurus sp.,Anteromedian caudal vertebra 10,Adult,Associated with DINO 4476 to 4488,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4476-thumb.jpg"">",DINO 4476,Not yet available,Apatosaurus sp.,Median caudal vertebra 11 ,Adult,"Associated with DINO 4475, 4477 to 4488",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4477-thumb.jpg"">",DINO 4477,Not yet available,Apatosaurus sp.,Median caudal vertebra 12,Adult,"Associated with DINO 4475, 4476, 4478 to 4488",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4478-thumb.jpg"">",DINO 4478,Not yet available,Apatosaurus sp.,Median caudal vertebra 13,Adult,"Associated with DINO 4475 to 4477, 4479 to 4488",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4479-thumb.jpg"">",DINO 4479,Not yet available,Apatosaurus sp.,Median caudal vertebra 14,Adult,"Associated with DINO 4475 to 4478, 4480 to 4488",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4480-thumb.jpg"">",DINO 4480,Not yet available,Apatosaurus sp.,Median caudal vertebra 15,Adult,"Associated with DINO 4475 to 4479, 4481 to 4488",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4481-thumb.jpg"">",DINO 4481,Not yet available,Apatosaurus sp.,Median caudal vertebra 16,Adult,"Associated with DINO 4475 to 4480, 4482 to 4488",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4482-thumb.jpg"">",DINO 4482,Not yet available,Apatosaurus sp.,Median caudal vertebra 17,Adult,"Associated with DINO 4475 to 4481, 4483 to 4488",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4483-thumb.jpg"">",DINO 4483,Not yet available,Apatosaurus sp.,Median caudal vertebra 18 ,Adult,"Associated with DINO 4475 to 4482, 4484 to 4488",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4484-thumb.jpg"">",DINO 4484,Not yet available,Apatosaurus sp.,Median caudal vertebra 19 ,Adult,"Associated with DINO 4475 to 4483, 4485 to 4488",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4485-thumb.jpg"">",DINO 4485,Not yet available,Apatosaurus sp.,Median caudal vertebra 20 ,Adult,"Associated with DINO 4475 to 4484, 4486 to 4488",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4486-thumb.jpg"">",DINO 4486,Not yet available,Apatosaurus sp.,Median caudal vertebra 21 ,Adult,"Associated with DINO 4475 to 4485, 4487, 4488",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4487-thumb.jpg"">",DINO 4487,Not yet available,Apatosaurus sp.,Median caudal vertebra 22,Adult,"Associated with DINO 4475 to 4486, 4488",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4488-thumb.jpg"">",DINO 4488,Not yet available,Apatosaurus sp.,Median caudal vertebra 23 ,Adult,Associated with DINO 4475 to 4487,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4498-thumb.jpg"">",DINO 4498,Not yet available,Camarasaurus sp.,Median caudal vertebra 10 ,Adult,Associated with DINO 4499 to 4509,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4499-thumb.jpg"">",DINO 4499,Not yet available,Camarasaurus sp.,Median caudal vertebra 11 ,Adult,"Associated with DINO 4498, 4500 to 4509",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4500-thumb.jpg"">",DINO 4500,Not yet available,Camarasaurus sp.,Median caudal vertebra 12,Adult,"Associated with DINO 4498, 4499, 4501 to 4509",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4501-thumb.jpg"">",DINO 4501,Not yet available,Camarasaurus sp.,Median caudal vertebra 13,Adult,"Associated with DINO 4498 to 4500, 4502 to 4509",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4502-thumb.jpg"">",DINO 4502,Not yet available,Camarasaurus sp.,Median caudal vertebra 14,Adult,"Associated with DINO 4498 to 4501, 4503 to 4509",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4504-thumb.jpg"">",DINO 4504,Not yet available,Camarasaurus sp.,Median caudal vertebra 15 ,Adult,"Associated with DINO 4498 to 4503, 4505 to 4509",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4506-thumb.jpg"">",DINO 4506,Not yet available,Camarasaurus sp.,Median caudal vertebra 16 ,Adult,"Associated with DINO 4498 to 4505, 4507 to 4509",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4507-thumb.jpg"">",DINO 4507,Not yet available,Camarasaurus sp.,Caudal vertebra 17,Adult,"Associated with DINO 4498 to 4506, 4508, 4509",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4508-thumb.jpg"">",DINO 4508,Not yet available,Camarasaurus sp.,Median caudal vertebra 18,Adult,"Associated with DINO 4498 to 4507, 4509",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4509-thumb.jpg"">",DINO 4509,Not yet available,Camarasaurus sp.,Median caudal vertebra 19,Adult,Associated with DINO 4498 to 4508,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4513-thumb.jpg"">",DINO 4513,Not yet available,Camarasaurus sp.,Left ischium ,Adult,"Associated with DINO 4390 to 4473, 4511, 4512, 4514, 4520, 4826 to 4839",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4515-thumb.jpg"">",DINO 4515,Not yet available,Camarasaurus sp.,Left femur ,Adult,"Associated with DINO 4390 to 4473, 4512 to 4514, 4516 to 4518, 4520, 4826 to 4839",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4516-thumb.jpg"">",DINO 4516,Not yet available,Camarasaurus sp.,Right tibia,Adult,"Associated with DINO 4390 to 4473, 4512 to 4515, 4517 to 4518, 4520, 4826 to 4839",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4517-thumb.jpg"">",DINO 4517,Not yet available,Camarasaurus sp.,Right fibula,Adult,"Associated with DINO 4390 to 4473, 4512 to 4516, 4518, 4520, 4826 to 4839",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4518-thumb.jpg"">",DINO 4518,Not yet available,Camarasaurus sp.,Scrap ,Adult,"Associated with DINO 4390 to 4473, 4512 to 4517, 4520, 4826 to 4839",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4522-thumb.jpg"">",DINO 4522,Not yet available,Stegosaurus sp.,Left humerus ,Adult,"Associated with DINO 4521, 4523 to 4536",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4524-thumb.jpg"">",DINO 4524,Not yet available,Stegosaurus sp.,Right dorsal rib lacking distal end of shaft ,Adult,"Associated with DINO 4521 to 4523, 4525 to 4536",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4526-thumb.jpg"">",DINO 4526,Not yet available,Stegosaurus sp.,Right dorsal rib lacking ribhead and distal tip ,Adult,"Associated with DINO 4521 to 4525, 4527 to 4536",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4527-thumb.jpg"">",DINO 4527,Not yet available,Stegosaurus sp.,Right dorsal rib,Adult,"Associated with DINO 4521 to 4526, 4528 to 4536",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4528-thumb.jpg"">",DINO 4528,Not yet available,Stegosaurus sp.,Dorsal rib capitulum only x,Adult,"Associated with DINO 4521 to 4526, 4528 to 4536",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4529-thumb.jpg"">",DINO 4529,Not yet available,Stegosaurus sp.,Left dorsal rib shaft portion only ,Adult,"Associated with DINO 4521 to 4528, 4530 to 4536",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4530-thumb.jpg"">",DINO 4530,Not yet available,Stegosaurus sp.,Left dorsal rib portion of shaft ,Adult,"Associated with DINO 4521 to 4529, 4531 to 4536",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4531-thumb.jpg"">",DINO 4531,Not yet available,Stegosaurus sp.,Right dorsal rib,Adult,"Associated with DINO 4521 to 4530, 4532 to 4536",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4532-thumb.jpg"">",DINO 4532,Not yet available,Stegosaurus sp.,Dorsal vertebra ,Adult,"Associated with DINO 4521 to 4531, 4533 to 4536",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4533-thumb.jpg"">",DINO 4533,Not yet available,Stegosaurus sp.,Right dorsal rib ,Adult,"Associated with DINO 4521 to 4532, 4534 to 4536",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4535-thumb.jpg"">",DINO 4535,Not yet available,Stegosaurus sp.,Dorsal rib ,Adult,"Associated with DINO 4521 to 4534, 4536",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4536-thumb.jpg"">",DINO 4536,Not yet available,Stegosaurus sp.,Left dorsal rib ,Adult,Associated with DINO 4521 to 4535,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4537-thumb.jpg"">",DINO 4537,Not yet available,"Dinosaur, unidentified",Scrap ,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4538-thumb.jpg"">",DINO 4538,Not yet available,Diplodocus sp.,Tooth ,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4561-thumb.jpg"">",DINO 4561,CL-0944,Apatosaurus sp.,Right radius,Adult,None apparent,21 in x 6 in,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4563-thumb.jpg"">",DINO 4563,CL-0946,Apatosaurus sp.,Left humerus,Adult,None apparent,43 in x 17 in,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4564-thumb.jpg"">",DINO 4564,CL-0947,Apatosaurus sp.,Left coracoid,Adult,None apparent,19 in x 5 in,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4569-thumb.jpg"">",DINO 4569,CL-0952,Apatosaurus sp.,Left metacarple iii,Adult,None apparent,11 in x 5 in,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4570-thumb.jpg"">",DINO 4570,CL-0953,Apatosaurus sp.,Left metacarple v,Adult,None apparent,10 in x 5 in,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4571-thumb.jpg"">",DINO 4571,Not yet available,Camarasaurus sp.,Caudal vertebra 13 ,Juvenile,Associated with DINO 4572 to 4591,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4572-thumb.jpg"">",DINO 4572,Not yet available,Camarasaurus sp.,Caudal vertebra 14 ,Juvenile,"Associated with DINO 4571, 4573 to 4591",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4573-thumb.jpg"">",DINO 4573,Not yet available,Camarasaurus sp.,Caudal vertebra 15 ,Juvenile,"Associated with DINO 4571, 4572, 4574 to 4591",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4574-thumb.jpg"">",DINO 4574,Not yet available,Camarasaurus sp.,Caudal vertebra 16 ,Juvenile,"Associated with DINO 4571 to 4573, 4575 to 4591",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4575-thumb.jpg"">",DINO 4575,Not yet available,Camarasaurus sp.,Caudal vertebra 17  ,Juvenile,"Associated with DINO 4571 to 4574, 4576 to 4591",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4576-thumb.jpg"">",DINO 4576,Not yet available,Camarasaurus sp.,Caudal vertebra 18  ,Juvenile,"Associated with DINO 4571 to 4575, 4577 to 4591",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4577-thumb.jpg"">",DINO 4577,Not yet available,Camarasaurus sp.,Caudal vertebra 19 ,Juvenile,"Associated with DINO 4571 to 4576, 4578 to 4591",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4578-thumb.jpg"">",DINO 4578,Not yet available,Camarasaurus sp.,Caudal vertebra 20 ,Juvenile,"Associated with DINO 4571 to 4577, 4579 to 4591",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4579-thumb.jpg"">",DINO 4579,Not yet available,Camarasaurus sp.,Caudal vertebra 21 ,Juvenile,"Associated with DINO 4571 to 4578, 4580 to 4591",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4580-thumb.jpg"">",DINO 4580,Not yet available,Camarasaurus sp.,Caudal vertebra 22 ,Juvenile,"Associated with DINO 4571 to 4579, 4581 to 4591",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4581-thumb.jpg"">",DINO 4581,Not yet available,Camarasaurus sp.,Caudal vertebra 23  ,Juvenile,"Associated with DINO 4571 to 4580, 4582 to 4591",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4582-thumb.jpg"">",DINO 4582,Not yet available,Camarasaurus sp.,Caudal vertebra 24 ,Juvenile,"Associated with DINO 4571 to 4581, 4583 to 4591",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4583-thumb.jpg"">",DINO 4583,Not yet available,Camarasaurus sp.,Caudal vertebra 25 ,Juvenile,"Associated with DINO 4571 to 4582, 4584 to 4591",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4584-thumb.jpg"">",DINO 4584,Not yet available,Camarasaurus sp.,Caudal vertebra 26 ,Juvenile,"Associated with DINO 4571 to 4583, 4585 to 4591",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4585-thumb.jpg"">",DINO 4585,Not yet available,Camarasaurus sp.,Caudal vertebra 27 ,Juvenile,"Associated with DINO 4571 to 4584, 4586 to 4591",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4586-thumb.jpg"">",DINO 4586,Not yet available,Camarasaurus sp.,Caudal vertebra 28  ,Juvenile,"Associated with DINO 4571 to 4585, 4587 to 4591",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4587-thumb.jpg"">",DINO 4587,Not yet available,Camarasaurus sp.,Caudal vertebra 29  ,Juvenile,"Associated with DINO 4571 to 4586, 4588 to 4591",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4588-thumb.jpg"">",DINO 4588,Not yet available,Camarasaurus sp.,Caudal vertebra 30 ,Juvenile,"Associated with DINO 4571 to 4587, 4589 to 4591",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4589-thumb.jpg"">",DINO 4589,Not yet available,Camarasaurus sp.,Caudal vertebra 31 ,Juvenile,"Associated with DINO 4571 to 4588, 4590, 4591",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4628-thumb.jpg"">",DINO 4628,CL-1025,Stegosaurus sp.,Left coracoid,Adult,None apparent,10 in x 10 in,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4629-thumb.jpg"">",DINO 4629,CL-1028,Diplodocus sp.,Dorsal vertebra 8,Adult,None apparent,9 in x 4 in,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4630-thumb.jpg"">",DINO 4630,"CL-1029
",Diplodocus sp.,Dorsal vertebra 9,Adult,None apparent,8 in x 4 in,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4631-thumb.jpg"">",DINO 4631,CL-1030,Diplodocus sp.,Dorsal vertebra 10,Adult,None apparent,8 in x 4 in,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4632-thumb.jpg"">",DINO 4632,CL-1031,Apatosaurus sp.,Caudal vertebra 25,Adult,None apparent,6 in x 5 in,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4633-thumb.jpg"">",DINO 4633,CL-1032,Apatosaurus sp.,Caudal vertebra 29,Adult,None apparent,5 in x 4 in,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4634-thumb.jpg"">",DINO 4634,CL-1033,Apatosaurus sp.,Caudal vertebra 30,Adult,None apparent,5 in x 4 in,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4635-thumb.jpg"">",DINO 4635,CL-1034,Apatosaurus sp.,Caudal vertebra 31,Adult,None apparent,5 in x 4 in,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4636-thumb.jpg"">",DINO 4636,CL-1035,Apatosaurus sp.,Caudal vertebra 32,Adult,None apparent,5 in x 5 in,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4637-thumb.jpg"">",DINO 4637,CL-1036,Apatosaurus sp.,Caudal vertebra 33,Adult,None apparent,5 in x 4 in,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4638-thumb.jpg"">",DINO 4638,CL-1037,Apatosaurus sp.,Caudal vertebra 34,Adult,None apparent,5 in x 4 in,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4639-thumb.jpg"">",DINO 4639,CL-1038,Apatosaurus sp.,Caudal vertebra 35,Adult,None apparent,4 in x 3 in,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4640-thumb.jpg"">",DINO 4640,CL-1039,Apatosaurus sp.,Caudal vertebra 36,Adult,None apparent,4 in x 3 in,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4641-thumb.jpg"">",DINO 4641,CL-1040,Apatosaurus sp.,Caudal vertebra 37,Adult,None apparent,4 in x 3 in,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4642-thumb.jpg"">",DINO 4642,CL-1041,Apatosaurus sp.,Caudal vertebra 38,Adult,None apparent,4 in x 2 in,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4643-thumb.jpg"">",DINO 4643,CL-1042,Apatosaurus sp.,Caudal vertebra 39,Adult,None apparent,3 in x 2 in,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4644-thumb.jpg"">",DINO 4644,CL-1043,Diplodocus sp.,Caudal vertebra,Adult,None apparent,4 in x 4 in,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4648-thumb.jpg"">",DINO 4648,Not yet available,Diplodocus sp.,Caudal vertebra 13,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4658-thumb.jpg"">",DINO 4658,Not yet available,"Sauropod, unidentified",Left tibia lacking distal and proximal ends,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4684-thumb.jpg"">",DINO 4684,Not yet available,Diplodocus sp.,Left fibula,Adult,Associated with DINO 4688,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4700-thumb.jpg"">",DINO 4700,Not yet available,"Sauropod, unidentified",Left cervical rib ,Juvenile,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4701-thumb.jpg"">",DINO 4701,Not yet available,"Sauropod, unidentified",Median caudal chevron ,Juvenile,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4703-thumb.jpg"">",DINO 4703,Not yet available,Camarasaurus sp.,Right coracoid ,Juvenile,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4711-thumb.jpg"">",DINO 4711,Not yet available,"Sauropod, unidentified",Radius,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4712-thumb.jpg"">",DINO 4712,Not yet available,Stegosaurus sp.,Axis with odontoid process,Adult,Associated with DINO 4713 to 4730,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4713-thumb.jpg"">",DINO 4713,Not yet available,Stegosaurus sp.,Cervical vertebra 3 ,Adult,"Associated with DINO 4712, 4714 to 4730",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4714-thumb.jpg"">",DINO 4714,Not yet available,Stegosaurus sp.,Cervical vertebra 4 ,Adult,"Associated with DINO 4712, 4713, 4715 to 4730",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4715-thumb.jpg"">",DINO 4715,Not yet available,Stegosaurus sp.,Cervical vertebra 5 ,Adult,"Associated with DINO 4712 to 4714, 4716 to 4730",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4716-thumb.jpg"">",DINO 4716,Not yet available,Stegosaurus sp.,Cervical vertebra 6,Adult,"Associated with DINO 4712 to 4715, 4717 to 4730",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4717-thumb.jpg"">",DINO 4717,Not yet available,Stegosaurus sp.,Cervical vertebra 7,Adult,"Associated with DINO 4712 to 4716, 4718 to 4730",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4718-thumb.jpg"">",DINO 4718,Not yet available,Stegosaurus sp.,Cervical vertebra 8 ,Adult,"Associated with DINO 4712 to 4717, 4719 to 4730",Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4728-thumb.jpg"">",DINO 4728,Not yet available,Stegosaurus sp.,Left dorsal rib 7 ,Adult,"Associated with DINO 4712 to 4727, 4729, 4730",Not yet available,Carnegie Quarry
