image,catalogNumber,cliffNumber,taxon,bone,age,relatedFossils,visibleMeasurements,currentLocation
"<img src=""http://www.carnegiequarry.com/images/DINO-4087-thumb.jpg"">",DINO 4087,Not yet available,Apatosaurus sp.,Anterior caudal chevron,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4088-thumb.jpg"">",DINO 4088,Not yet available,Apatosaurus sp.,Anterior caudal chevron,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4089-thumb.jpg"">",DINO 4089,Not yet available,"Sauropod, unidentified",Gastralia,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4093-thumb.jpg"">",DINO 4093,Not yet available,Diplodocus sp.,Caudal vertebra 19 or 20,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4100-thumb.jpg"">",DINO 4100,Not yet available,Apatosaurus sp.,Sixth or seventh caudal vertebra ,Juvenile,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4101-thumb.jpg"">",DINO 4101,Not yet available,Stegosaurus sp.,Posterior cervical vertebra,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4107-thumb.jpg"">",DINO 4107,Not yet available,Stegosaurus sp.,Dermal plate posterior dorsal,Adult,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4108-thumb.jpg"">",DINO 4108,Not yet available,Camarasaurus sp.,Right metatarsal i ,Juvenile,None apparent,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4109-thumb.jpg"">",DINO 4109,Not yet available,Camarasaurus sp.,Right tibia,Adult,Articulated with DINO 4110 to 4112,Not yet available,Carnegie Quarry
"<img src=""http://www.carnegiequarry.com/images/DINO-4110-thumb.jpg"">",DINO 4110,Not yet available,Camarasaurus sp.,Right fibula,Adult,"Articulated with DINO 4109, 4111, 4112",Not yet available,Carnegie Quarry
